,ZIP_CD,Homicide Scores
1,60624,7
2,60609,6
3,60623,6
4,60651,5
5,60644,5
6,60628,5
7,60621,4
8,60636,4
9,60620,4
10,60637,4
11,60617,4
12,60619,4
13,60612,3
14,60608,3
15,60649,3
16,60653,3
17,60647,3
18,60629,3
19,60639,2
20,60622,2
21,60615,2
22,60640,2
23,60632,2
24,60643,2
25,60618,1
26,60626,1
27,60616,1
28,60610,1
29,60625,1
30,60613,0
31,60827,0
32,60660,0
33,60642,0
34,60641,0
35,60657,0
36,60638,0
37,60652,0
38,60607,0
39,60614,0
40,60645,0
41,60634,0
42,60659,0
43,60630,0
44,60654,0
45,60605,0
46,60633,0
47,60707,0
48,60661,0
49,60601,0
50,60646,0
51,60656,0
52,60631,0
53,60611,0
54,60655,0
55,60604,0
56,60606,0
57,60603,0
58,60602,0
59,60666,0
